id,package,title,dependencies,optional,state,completion,work_to_retire,stop_or_rollback
N00.01,N00,Freeze inputs and resolve active policy,,False,PLANNED,One reproducible identity and explicit policy/coverage scope are linked from P2-2p8.,Ambiguous baselines and repeated rediscovery; no runtime saving claimed.,Missing derived inputs or a mismatched ELF block the measurement; do not silently substitute another ROM.
N00.02,N00,"Reproduce work, cadence and resource populations",N00.01,False,PLANNED,Comparable baseline rows with exact scope and independently reported correctness/performance verdicts.,Invalid profiling populations; no runtime saving claimed.,"Stop on timing corruption, unexplained missing frames or unengaged fighters; investigate that cause before attribution."
N00.03,N00,Assign exclusive costs and concrete deletion candidates,N00.02,False,PLANNED,A bounded deletion ledger names the next highest-impact executable slices.,Unpriced optimization guesses and duplicate attribution.,"If removable costs cannot explain the gap, widen the owner boundary; do not keep surveying individual tiny symbols."
N00.04,N00,Implement a real product-performance verdict,N00.02,False,PLANNED,A deliberately slow valid ROM/report is explicitly performance RED; a valid fixture at the documented limits grades consistently.,The acceptance gap where correctness-only passes are read as FPS closure.,Do not tighten the product contract silently or exempt known slow frames. Fix evaluator definitions before using it to rank changes.
N00.05,N00,Freeze semantic and visual regression fixtures,N00.01; N00.06,False,PLANNED,"Known tricky states have reproducible triggers and defined outcomes, independent of the implementation being replaced.",Vague correctness claims and tests that only prove zero error counters.,An untriggered CPU move is not evidence; use source-controller playback or a clearly labeled deterministic state fixture.
N00.06,N00,Generate the legal content catalogue and base case universe,N00.01,False,PLANNED,A versioned product-required case universe and current-content gap report exist before architecture capacities or release coverage can be declared universal.,Ambiguous combination scope and hidden omissions caused by generating tests only from accepted/enabled content.,Do not guess absent catalogue identities or treat disabled required content as out of scope; report the exact source resolution gap.
N01.01,N01,Produce byte-accurate linked ownership,N00.02,False,PLANNED,Every byte has an owner/class and each proposed eviction identifies its actual input-section granularity.,Opaque group placement and invalid recoverable-byte claims.,Do not use a different debug ELF or sum alias sizes; fix identity/granularity before placement changes.
N01.02,N01,Decouple instruction mode from residency,N01.01,False,PLANNED,ISA can change without moving unrelated globals; intended current residents remain explicit and layout effects are measured.,Automatic code/data residency solely because an object was compiled ARM.,Revert the policy slice on stack/IRQ/boot regression; do not paper over it by raising a memory region.
N01.03,N01,Separate shipping observation from safety,N01.01; N00.05,False,PLANNED,Shipping and evidence targets have explicit observation contracts and final shipping timing remains independently measured.,"Unnecessary shipping observer loads/stores and obsolete debug state, not safety checks.","A verifier that can no longer prove four engaged fighters blocks the change; restore a compact witness, not all historic telemetry."
N01.04,N01,Split the first measured cold renderer tails,N00.03; N01.02,False,PLANNED,A specific kernel is smaller and retains required behavior; reclaimed bytes and net time are recorded separately.,Cold setup/error code carried inside a hot input section and proven repeated immutable work.,Reject a split whose hot call/branch/cache penalty outweighs its benefit; do not repeat broad attribute-only splitting.
